sample,logged_at,pm10,pm25
1,2023-10-25 06:35:13,19.63,9.73
2,2023-10-25 06:37:39,20.48,10.2
3,2023-10-25 06:40:09,20.16,9.91
4,2023-10-25 06:42:35,21.2,10.76
5,2023-10-25 06:45:02,22.24,10.99
6,2023-10-25 06:47:28,20.18,10.77
7,2023-10-25 06:49:54,21.22,11.85
8,2023-10-25 06:52:20,24.02,12.78
9,2023-10-25 06:54:46,23.6,13.12
10,2023-10-25 06:57:12,22.56,12.62
11,2023-10-25 06:59:38,20.5,11.6
12,2023-10-25 07:02:04,20.55,11.61
13,2023-10-25 07:04:30,21.06,11.58
14,2023-10-25 07:06:56,21.22,11.26
15,2023-10-25 07:09:22,19.9,11.12
16,2023-10-25 07:11:48,20.27,11.52
17,2023-10-25 07:14:14,23.18,12.09
18,2023-10-25 07:16:40,26.44,12.64
19,2023-10-25 07:19:06,27.32,12.78
20,2023-10-25 07:21:33,27.62,13.36
21,2023-10-25 07:23:59,26.76,13.92
22,2023-10-25 07:26:26,26.44,13.43
23,2023-10-25 07:31:19,27.76,14.11
24,2023-10-25 07:33:46,29.4,15.32
25,2023-10-25 07:36:15,28.32,15.02
26,2023-10-25 07:38:41,28.32,15.31
27,2023-10-25 07:41:07,30.55,16.21
28,2023-10-25 07:43:33,29.74,15.62
29,2023-10-25 07:45:59,27.74,15.15
30,2023-10-25 07:48:28,29.0,15.74
31,2023-10-25 07:50:54,32.22,16.82
32,2023-10-25 07:53:20,34.36,16.6
33,2023-10-25 07:55:46,31.02,15.56
34,2023-10-25 07:58:12,29.6,16.55
35,2023-10-25 08:03:04,30.4,16.23
36,2023-10-25 08:05:36,33.18,16.99
37,2023-10-25 08:08:02,33.06,17.83
38,2023-10-25 08:10:29,33.64,18.61
39,2023-10-25 08:12:55,34.71,18.91
40,2023-10-25 08:15:21,33.85,18.2
41,2023-10-25 08:17:49,35.68,18.1
42,2023-10-25 08:20:15,38.65,19.04
43,2023-10-25 08:22:42,39.38,19.59
44,2023-10-25 08:25:14,37.56,19.11
45,2023-10-25 08:27:41,35.76,19.06
46,2023-10-25 08:30:07,33.09,18.67
47,2023-10-25 08:32:35,36.18,18.81
48,2023-10-25 08:37:28,39.85,19.29
49,2023-10-25 08:39:54,36.36,18.26
50,2023-10-25 08:42:21,36.6,18.5
51,2023-10-25 08:44:48,35.33,18.75
52,2023-10-25 08:47:22,33.58,18.3
53,2023-10-25 08:49:48,34.62,19.02
54,2023-10-25 08:52:15,35.88,19.23
55,2023-10-25 08:54:41,36.9,19.04
56,2023-10-25 08:57:07,36.38,19.78
57,2023-10-25 08:59:34,39.46,20.04
58,2023-10-25 09:02:10,42.26,19.8
59,2023-10-25 09:04:40,38.69,19.94
60,2023-10-25 09:07:08,34.44,19.3
61,2023-10-25 09:09:35,34.98,19.0
62,2023-10-25 09:12:01,37.42,18.66
63,2023-10-25 09:14:28,34.46,17.65
64,2023-10-25 09:16:55,37.73,18.85
65,2023-10-25 09:19:21,36.73,18.85
66,2023-10-25 09:21:47,36.02,18.68
67,2023-10-25 09:24:13,38.11,18.96
68,2023-10-25 09:29:07,36.82,18.81
69,2023-10-25 09:31:33,36.8,18.9
70,2023-10-25 09:33:59,36.16,18.58
71,2023-10-25 09:36:25,34.78,17.67
72,2023-10-25 09:38:51,33.55,17.27
73,2023-10-25 09:41:18,34.35,18.09
