sample_index,pm25_ugm3,pm10_ugm3
1,1.7,7.8
2,1.7,7.7
3,1.7,7.3
4,1.7,7.3
5,1.7,7.3
6,1.7,7.3
7,1.7,7.2
8,1.7,7.1
9,1.6,7.1
10,1.7,7.6
11,1.6,7.6
12,1.6,7.6
13,1.7,7.6
14,1.7,7.7
15,1.7,7.3
16,1.7,7.2
17,1.7,7.2
18,1.8,7.3
19,1.8,6.9
20,1.8,6.9
21,1.8,6.9
22,1.9,6.9
23,1.8,2.6
24,1.8,2.7
25,1.8,2.7
26,1.9,2.7
27,1.9,2.8
28,1.9,2.8
29,1.9,3.1
30,2.0,3.3
31,2.0,3.3
32,2.0,3.3
33,2.0,3.3
34,2.0,3.2
35,1.9,3.2
36,1.9,3.3
37,1.9,3.3
38,1.9,3.3
39,1.9,3.3
40,2.0,2.8
41,2.0,3.1
42,2.1,3.2
43,2.1,3.2
44,2.2,4.0
45,2.2,4.5
46,2.2,4.5
47,2.2,4.5
48,2.2,4.5
49,2.2,4.4
50,2.2,5.5
51,2.3,5.5
52,2.3,5.4
53,2.3,5.5
54,2.3,5.4
55,2.4,5.5
56,2.3,5.4
57,2.3,5.5
58,2.3,5.5
59,2.3,5.1
60,2.2,5.0
61,2.2,5.0
62,2.3,5.1
63,2.3,5.4
64,2.4,5.4
65,2.4,5.4
66,2.4,5.4
67,2.4,5.4
68,2.4,5.4
69,2.4,5.4
70,2.3,5.3
71,2.3,4.9
72,2.2,5.5
73,2.2,5.5
74,2.2,4.8
75,2.2,4.3
76,2.1,4.4
77,2.0,4.4
78,2.0,4.3
79,1.9,4.3
80,1.9,3.3
81,1.8,3.3
82,1.8,3.3
83,1.8,3.3
84,1.9,3.3
85,1.8,4.3
86,1.8,4.4
87,1.8,4.4
88,1.9,5.3
89,2.0,5.6
90,2.1,6.5
91,2.2,7.1
92,2.2,7.7
93,2.2,8.1
94,2.4,11.9
95,2.4,12.0
96,2.5,14.3
97,2.5,15.2
98,2.6,16.6
99,2.7,17.8
100,2.7,18.5
101,2.9,18.9
102,2.9,18.3
103,3.0,18.4
104,3.0,18.8
105,3.1,19.3
106,3.1,20.0
107,3.1,20.7
108,3.1,20.8
109,3.2,21.6
110,3.2,21.9
111,3.3,23.4
112,3.3,23.9
113,3.4,23.9
114,3.3,23.9
115,3.3,22.8
116,3.3,22.8
117,3.3,22.7
118,3.2,21.8
119,3.2,22.0
120,3.1,21.1
121,3.0,21.9
122,3.0,22.1
123,3.0,21.3
124,2.8,17.7
125,2.8,17.6
126,2.9,15.7
127,2.8,15.3
128,2.8,16.2
129,2.8,15.4
130,2.8,14.8
131,2.6,15.1
132,2.7,15.3
133,2.7,15.3
134,2.6,14.9
135,2.7,15.7
136,2.7,16.6
137,2.8,16.1
138,2.8,17.6
139,2.8,17.1
140,2.7,16.9
141,2.7,16.6
142,2.7,16.3
143,2.7,17.1
144,2.8,18.3
145,2.9,19.4
146,2.9,19.4
147,2.9,20.2
148,2.9,20.6
149,2.9,20.1
150,2.9,20.7
151,3.0,20.2
152,2.9,20.2
153,3.0,20.9
154,3.0,21.4
155,3.0,22.2
156,2.9,22.2
157,3.0,23.2
158,3.0,21.9
159,2.9,21.7
160,2.9,22.1
161,2.9,21.6
162,3.2,25.0
163,3.1,24.8
164,3.1,24.7
165,3.1,24.8
166,3.1,23.2
167,3.1,23.1
168,3.0,21.5
169,3.0,21.2
170,3.1,21.2
171,3.0,20.0
172,3.0,20.0
173,3.0,19.9
174,2.9,18.6
175,2.9,17.6
176,2.9,18.3
177,2.9,17.5
178,2.8,17.1
179,2.9,17.2
180,2.9,16.6
181,2.8,15.6
182,2.7,14.8
183,2.7,14.0
184,2.6,13.5
185,2.6,12.7
186,2.5,13.1
187,2.4,11.6
188,2.4,11.1
189,2.4,11.2
190,2.4,11.0
191,2.4,11.1
192,2.1,8.1
193,2.1,8.1
194,2.1,8.1
195,2.1,6.9
196,2.2,6.7
197,2.1,6.7
198,2.1,6.7
199,2.1,6.7
200,2.1,6.7
201,2.1,6.6
202,2.1,6.5
203,2.1,5.8
204,2.1,5.8
205,2.1,5.8
206,2.0,5.1
207,2.0,5.0
208,2.0,5.1
209,2.0,5.4
210,2.0,5.4
211,2.0,5.4
212,2.0,6.1
213,2.1,6.1
214,2.1,6.8
215,2.2,6.9
216,2.2,6.1
217,2.2,6.4
218,2.2,6.3
219,2.2,5.9
220,2.2,5.6
221,2.2,5.4
222,2.2,4.8
223,2.3,4.9
224,2.3,5.0
225,2.3,5.0
226,2.1,4.8
227,2.2,6.3
228,2.2,7.0
229,2.2,7.0
230,2.2,7.0
231,2.2,7.1
232,2.2,7.1
233,2.3,7.2
234,2.3,7.2
235,2.2,7.2
236,2.2,7.2
237,2.3,11.0
238,2.3,11.0
239,2.2,10.7
240,2.3,11.3
241,2.2,11.8
242,2.3,11.1
243,2.2,11.1
244,2.2,10.4
245,2.1,10.3
246,2.2,10.4
247,2.1,10.1
248,2.1,10.0
249,2.1,10.3
250,2.2,10.4
251,2.2,10.5
252,2.1,10.4
253,2.2,10.6
254,2.2,10.5
255,2.2,10.5
256,2.2,10.5
257,2.2,9.1
258,2.2,8.4
259,2.2,8.4
260,2.6,10.3
261,2.6,10.9
262,4.5,11.9
263,4.5,11.8
264,4.5,11.8
265,4.5,11.8
266,7.2,13.0
267,7.3,9.4
268,7.3,9.4
269,7.4,9.4
270,7.3,8.8
271,7.5,8.4
272,7.5,8.5
273,7.6,8.5
274,7.5,8.5
275,7.6,8.5
276,7.6,8.5
277,7.6,8.5
278,7.6,8.5
279,7.6,8.4
280,7.4,8.2
281,7.5,8.3
282,7.4,8.2
283,7.4,8.8
284,7.4,8.7
285,7.5,9.3
286,7.4,9.2
287,7.4,9.2
288,7.4,9.1
289,7.4,9.1
290,7.0,7.8
291,6.9,7.6
292,5.0,5.6
293,5.0,5.7
294,5.0,5.7
295,4.9,5.7
296,2.3,4.6
297,2.1,4.3
298,2.1,4.4
299,2.1,4.4
300,2.1,4.3
301,2.0,4.2
302,2.0,4.2
303,2.0,4.2
304,2.0,4.2
305,2.0,4.2
306,1.9,4.2
307,1.9,4.3
308,1.9,4.3
309,1.9,4.9
310,2.0,5.0
311,2.0,5.0
312,2.0,5.0
313,2.0,3.6
314,2.0,3.6
315,1.9,3.1
316,1.9,3.3
317,1.9,3.4
318,1.9,3.4
319,2.0,3.5
320,2.0,3.6
321,2.0,3.5
322,2.1,4.3
323,2.1,4.7
324,2.1,4.7
325,2.2,4.7
326,2.1,4.7
327,2.2,4.8
328,2.1,4.8
329,2.1,4.8
330,2.1,4.8
331,2.1,4.7
332,2.1,4.9
333,2.1,4.9
334,2.1,4.8
335,2.1,4.8
336,2.1,4.8
337,2.1,4.6
338,2.1,4.7
339,2.1,4.1
340,2.0,4.0
341,2.0,4.0
342,2.0,4.0
343,2.0,4.0
344,2.1,4.0
345,2.0,4.0
346,2.1,3.8
347,2.0,4.5
348,2.0,4.5
349,2.0,4.4
350,2.0,4.3
351,2.0,4.3
352,2.0,3.6
353,1.9,2.9
354,1.9,3.0
355,1.9,3.0
356,1.9,3.3
357,1.9,3.2
358,1.9,3.2
359,1.8,3.2
360,1.8,3.2
361,1.8,3.1
362,1.8,3.1
363,1.8,3.1
364,2.0,3.2
365,1.9,3.2
366,2.0,3.2
367,2.0,3.9
368,2.0,3.9
369,2.0,3.8
370,2.0,3.9
371,2.0,3.9
372,2.0,3.9
373,1.9,3.8
374,2.0,4.1
375,2.0,4.0
376,2.7,4.7
377,3.8,5.2
378,5.0,6.2
379,8.3,9.3
380,12.3,13.7
381,16.0,17.9
382,18.6,20.7
383,19.9,22.2
384,20.5,23.0
385,21.0,23.5
386,21.2,23.7
387,21.4,24.0
388,21.5,24.1
389,21.6,24.2
390,21.7,24.3
391,21.7,24.3
392,21.7,24.3
393,22.3,25.0
394,22.3,25.0
395,22.3,25.0
396,22.3,25.0
397,22.3,24.9
398,22.3,24.9
399,22.4,25.0
400,22.4,25.0
401,22.4,25.0
402,22.4,25.0
403,22.4,25.1
404,22.4,25.0
405,22.4,25.0
406,21.6,24.2
407,20.6,23.0
408,19.4,21.8
409,16.1,19.1
410,12.2,15.1
411,8.5,12.2
412,6.0,9.8
413,4.7,8.7
414,4.0,6.9
415,3.6,6.7
416,3.4,6.5
417,3.3,5.6
418,3.1,6.1
419,3.0,6.6
420,3.0,6.6
421,3.0,6.5
422,2.9,6.5
423,2.3,6.2
424,2.3,6.1
425,2.2,6.0
426,2.1,5.9
427,2.1,5.8
428,2.1,7.5
429,2.1,7.4
430,2.0,7.5
431,2.1,7.5
432,2.0,7.4
433,2.0,7.3
434,2.0,7.3
435,2.0,7.9
436,2.0,7.9
437,1.9,7.8
438,1.9,7.4
439,1.8,6.8
440,1.8,6.8
441,1.7,6.0
442,1.8,6.1
443,1.7,6.0
444,1.7,6.0
445,1.8,6.2
446,1.8,6.2
447,1.8,6.1
448,1.8,5.4
449,1.8,4.8
450,1.8,4.8
451,1.8,4.8
452,1.8,4.9
453,1.8,4.9
454,1.8,4.9
455,1.8,4.9
456,1.9,5.0
457,1.9,5.0
458,1.9,3.1
459,1.8,3.1
460,1.8,3.1
461,1.8,3.1
462,1.8,3.1
463,1.8,3.1
464,1.8,3.1
465,1.9,2.5
466,1.9,2.5
467,1.9,2.6
468,1.9,2.6
469,2.0,2.7
470,2.0,2.7
471,2.0,3.4
472,2.0,3.3
473,1.9,3.3
474,1.9,3.3
475,1.9,3.2
476,1.9,3.2
477,1.9,3.6
478,1.9,3.9
479,1.9,4.7
480,1.9,4.7
481,1.9,5.5
482,1.9,5.3
483,1.9,5.3
484,1.9,5.3
485,1.9,5.3
